module,primary_pass,depth,scope_or_gap,lexical_reference_candidates
wordcartel/src/diagnostics_run.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/diag_provider.rs; wordcartel/src/editor.rs; wordcartel/src/menu.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/save.rs; wordcartel/src/search_ui.rs; wordcartel/src/timers.rs
wordcartel/src/e2e.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/edit_apply.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/editor.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/scratch.rs; wordcartel/src/search_ui.rs; wordcartel/src/transact.rs; wordcartel/src/transform.rs
wordcartel/src/editor.rs,1,exercised (scope-limited),Buffer construction/identity/dirty state and lifecycle methods only,wordcartel/src/app.rs; wordcartel/src/block_paint.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/chrome.rs; wordcartel/src/clipboard.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/cursor_picker.rs; wordcartel/src/cursor_style.rs; wordcartel/src/density.rs; wordcartel/src/derive.rs; wordcartel/src/diag_overlay.rs; wordcartel/src/diag_provider.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/edit_apply.rs; wordcartel/src/export.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/filter.rs; wordcartel/src/harper_ls.rs; wordcartel/src/input.rs; wordcartel/src/jobs.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/lenses.rs; wordcartel/src/lines.rs; wordcartel/src/lsp_client.rs; wordcartel/src/lsp_rpc.rs; wordcartel/src/marks.rs; wordcartel/src/menu.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/nav.rs; wordcartel/src/nlp.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/overlays.rs; wordcartel/src/palette.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/mod.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/prompt.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/reconcile.rs; wordcartel/src/recovery.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/render_status.rs; wordcartel/src/save.rs; wordcartel/src/scratch.rs; wordcartel/src/search_overlay.rs; wordcartel/src/search_ui.rs; wordcartel/src/session_restore.rs; wordcartel/src/settings.rs; wordcartel/src/splash.rs; wordcartel/src/startup.rs; wordcartel/src/status.rs; wordcartel/src/status_view.rs; wordcartel/src/swap.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_cmds.rs; wordcartel/src/theme_picker.rs; wordcartel/src/timers.rs; wordcartel/src/transact.rs; wordcartel/src/transform.rs; wordcartel/src/ventilate.rs; wordcartel/src/workspace.rs
wordcartel/src/export.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/test_support.rs
wordcartel/src/file.rs,1,exercised (scope-limited),Bounded open and atomic-save wrappers,wordcartel/src/app.rs; wordcartel/src/commands.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/editor.rs; wordcartel/src/plugin/load.rs; wordcartel/src/prompts.rs; wordcartel/src/save.rs; wordcartel/src/startup.rs; wordcartel/src/state.rs
wordcartel/src/file_browser.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/file_browser_listing.rs; wordcartel/src/mouse.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/render_overlays.rs; wordcartel/src/test_support.rs
wordcartel/src/file_browser_commit.rs,1,inspected (scope-limited),Destination classification and save routing only,wordcartel/src/file_browser.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/test_support.rs
wordcartel/src/file_browser_intercept.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/overlays.rs; wordcartel/src/test_support.rs
wordcartel/src/file_browser_listing.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/render_overlays.rs
wordcartel/src/filter.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/prompts.rs
wordcartel/src/fold.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/blocks_marked.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands.rs; wordcartel/src/editor.rs; wordcartel/src/nav.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/save.rs
wordcartel/src/fsx.rs,1,exercised (scope-limited),"Atomic replace, destination resolution, reads and fault seam",wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/config.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/file.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/file_browser_listing.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/overlays.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/save.rs; wordcartel/src/session_restore.rs; wordcartel/src/settings.rs; wordcartel/src/startup.rs; wordcartel/src/state.rs; wordcartel/src/swap.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_resolve.rs; wordcartel/src/timers.rs; wordcartel/src/workspace.rs
wordcartel/src/harper_ls.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/diagnostics_run.rs
wordcartel/src/input.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs
wordcartel/src/jobs.rs,2,exercised (scope-limited),FIFO executor and result-class routing,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/lenses.rs; wordcartel/src/overlays.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/prompts.rs; wordcartel/src/reconcile.rs; wordcartel/src/registry.rs; wordcartel/src/save.rs; wordcartel/src/swap.rs; wordcartel/src/test_support.rs; wordcartel/src/timers.rs
wordcartel/src/jobs_apply.rs,2,exercised (scope-limited),Save completion and quit-drain actions only,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/prompts.rs
wordcartel/src/keymap.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/input.rs; wordcartel/src/menu.rs; wordcartel/src/overlays.rs; wordcartel/src/palette.rs; wordcartel/src/settings.rs; wordcartel/src/splash.rs; wordcartel/src/startup.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_cmds.rs
wordcartel/src/lenses.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/timers.rs
wordcartel/src/lib.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/limits.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/clipboard.rs; wordcartel/src/config.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/file.rs; wordcartel/src/file_browser.rs; wordcartel/src/harper_ls.rs; wordcartel/src/lenses.rs; wordcartel/src/lsp_client.rs; wordcartel/src/lsp_rpc.rs; wordcartel/src/minibuffer.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/mod.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/settings.rs; wordcartel/src/prompts.rs; wordcartel/src/render_status.rs; wordcartel/src/save.rs; wordcartel/src/search_overlay.rs; wordcartel/src/session_restore.rs; wordcartel/src/startup.rs; wordcartel/src/state.rs; wordcartel/src/status.rs; wordcartel/src/swap.rs; wordcartel/src/theme_resolve.rs; wordcartel/src/transform.rs
wordcartel/src/lines.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/derive.rs; wordcartel/src/diagnostics_run.rs
wordcartel/src/list_window.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/cursor_picker.rs; wordcartel/src/e2e.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/menu.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/palette.rs; wordcartel/src/render_overlays.rs; wordcartel/src/theme_picker.rs
wordcartel/src/lsp_client.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/diagnostics_run.rs; wordcartel/src/harper_ls.rs; wordcartel/src/ltex_ls.rs
wordcartel/src/lsp_rpc.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/lsp_client.rs
wordcartel/src/ltex_ls.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/diagnostics_run.rs
wordcartel/src/main.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/marks.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs
wordcartel/src/menu.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/editor.rs; wordcartel/src/mouse.rs; wordcartel/src/overlays.rs; wordcartel/src/registry.rs; wordcartel/src/workspace.rs
wordcartel/src/minibuffer.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/overlays.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs
wordcartel/src/mouse.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/overlays.rs
wordcartel/src/nav.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/block_paint.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/derive.rs; wordcartel/src/e2e.rs; wordcartel/src/edit_apply.rs; wordcartel/src/editor.rs; wordcartel/src/lenses.rs; wordcartel/src/marks.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/save.rs; wordcartel/src/search_ui.rs; wordcartel/src/session_restore.rs; wordcartel/src/status_view.rs; wordcartel/src/ventilate.rs; wordcartel/src/workspace.rs
wordcartel/src/nlp.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/editor.rs
wordcartel/src/outline_overlay.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/mouse.rs; wordcartel/src/overlays.rs
wordcartel/src/overlays.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/cursor_picker.rs; wordcartel/src/diag_overlay.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/input.rs; wordcartel/src/marks.rs; wordcartel/src/menu.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/palette.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/search_ui.rs; wordcartel/src/splash.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_picker.rs
wordcartel/src/palette.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_listing.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/overlays.rs
wordcartel/src/panicx.rs,2,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/derive.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/filter.rs; wordcartel/src/jobs.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/term.rs; wordcartel/src/transform.rs
wordcartel/src/pathx.rs,1,inspected (scope-limited),Tilde expansion and platform directories,wordcartel/src/app.rs; wordcartel/src/config.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/prompts.rs
wordcartel/src/plugin/api.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/plugin/host.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/settings.rs
wordcartel/src/plugin/host.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/reload.rs
wordcartel/src/plugin/load.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/e2e.rs; wordcartel/src/plugin/reload.rs
wordcartel/src/plugin/mod.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/minibuffer.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/plugin/settings.rs; wordcartel/src/registry.rs; wordcartel/src/save.rs; wordcartel/src/session_restore.rs; wordcartel/src/timers.rs; wordcartel/src/workspace.rs
wordcartel/src/plugin/pump.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/plugin/reload.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs
wordcartel/src/plugin/settings.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/plugin/load.rs
wordcartel/src/prompt.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/commands.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/mouse.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/save.rs; wordcartel/src/test_support.rs; wordcartel/src/timers.rs; wordcartel/src/workspace.rs
wordcartel/src/prompts.rs,6,exercised (scope-limited),"Recovery, Save As, close/quit, cleanup actions only",wordcartel/src/file_browser_commit.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/overlays.rs; wordcartel/src/registry.rs; wordcartel/src/save.rs; wordcartel/src/test_support.rs
wordcartel/src/recents.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/registry.rs
wordcartel/src/reconcile.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/timers.rs
wordcartel/src/recovery.rs,1,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/editor.rs; wordcartel/src/term.rs
wordcartel/src/registry.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/chrome_geom.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/input.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/keymap.rs; wordcartel/src/lenses.rs; wordcartel/src/marks.rs; wordcartel/src/menu.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/overlays.rs; wordcartel/src/palette.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/load.rs; wordcartel/src/plugin/mod.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/prompts.rs; wordcartel/src/render_overlays.rs; wordcartel/src/save.rs; wordcartel/src/search_ui.rs; wordcartel/src/splash.rs; wordcartel/src/swap.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_cmds.rs; wordcartel/src/timers.rs
wordcartel/src/render.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/block_paint.rs; wordcartel/src/e2e.rs; wordcartel/src/overlays.rs
wordcartel/src/render_overlays.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/overlays.rs; wordcartel/src/render.rs
wordcartel/src/render_status.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/render.rs
wordcartel/src/save.rs,1,exercised (scope-limited),"Fingerprint, save dispatch/merge, Save As, reload/recovery",wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs
wordcartel/src/scratch.rs,1,inspected (scope-limited),Copy/move to scratch,wordcartel/src/registry.rs
wordcartel/src/search_overlay.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/mouse.rs; wordcartel/src/registry.rs; wordcartel/src/render_status.rs; wordcartel/src/search_ui.rs
wordcartel/src/search_ui.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/diag_overlay.rs; wordcartel/src/mouse.rs; wordcartel/src/overlays.rs; wordcartel/src/prompts.rs
wordcartel/src/session_restore.rs,1,inspected (scope-limited),"Resume, scratch restore, open replacement, persistence/migrations",wordcartel/src/app.rs; wordcartel/src/workspace.rs
wordcartel/src/settings.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/startup.rs; wordcartel/src/theme_cmds.rs
wordcartel/src/splash.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/overlays.rs; wordcartel/src/render_overlays.rs
wordcartel/src/startup.rs,1,inspected (scope-limited),Configuration seeding and resume enablement,wordcartel/src/app.rs
wordcartel/src/state.rs,1,inspected (scope-limited),Load/save session and size caps,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/recents.rs; wordcartel/src/session_restore.rs
wordcartel/src/status.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/clipboard.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands.rs; wordcartel/src/config.rs; wordcartel/src/derive.rs; wordcartel/src/diag_provider.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/filter.rs; wordcartel/src/input.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/lenses.rs; wordcartel/src/marks.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/mod.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/save.rs; wordcartel/src/scratch.rs; wordcartel/src/search_ui.rs; wordcartel/src/session_restore.rs; wordcartel/src/settings.rs; wordcartel/src/status_view.rs; wordcartel/src/swap.rs; wordcartel/src/theme_cmds.rs; wordcartel/src/timers.rs; wordcartel/src/transform.rs; wordcartel/src/workspace.rs
wordcartel/src/status_view.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/registry.rs
